Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-16,24.983872244915407,25.039768797362708,24.82416726539925,25.030784606933594,8300,0.0,0.0,0.0
2025-07-17,25.112634221586696,25.178512573242188,25.083686432755616,25.178512573242188,700,0.0,0.0,0.0
2025-07-18,25.178513242173697,25.178513242173697,25.11762483658396,25.138586044311523,2400,0.0,0.0,0.0
2025-07-21,25.263354921002602,25.263354921002602,25.209455490112305,25.209455490112305,2200,0.0,0.0,0.0
2025-07-22,25.17352163573106,25.243394232670468,25.163539836168287,25.223430633544922,2300,0.0,0.0,0.0
2025-07-23,25.273336374708983,25.39211654663086,25.273336374708983,25.39211654663086,600,0.0,0.0,0.0
2025-07-24,25.46298799025727,25.46298799025727,25.432044982910156,25.432044982910156,100,0.0,0.0,0.0
2025-07-25,25.44302472640917,25.485946655273438,25.44302472640917,25.485946655273438,100,0.0,0.0,0.0
2025-07-28,25.47296969926003,25.47296969926003,25.45300610030052,25.462987899780273,9800,0.0,0.0,0.0
2025-07-29,25.50291188952463,25.542839085401585,25.412079993888092,25.42405891418457,168300,0.0,0.0,0.0
2025-07-30,25.482950864962298,25.57278515421228,25.318254033392822,25.384132385253906,449000,0.0,0.0,0.0
2025-07-31,25.582764490573144,25.582764490573144,25.34320702575254,25.363170623779297,794300,0.0,0.0,0.0
2025-08-01,25.033779064425318,25.033779064425318,24.93895482881834,24.97588539123535,23000,0.0,0.0,0.0
2025-08-04,25.23840174980288,25.32324609204783,25.23840174980288,25.29230308532715,46100,0.0,0.0,0.0
2025-08-05,25.298290252685547,25.303282104182106,25.29330030502251,25.298290252685547,13700,0.0,0.0,0.0
2025-08-06,25.383134518294156,25.53285769757669,25.373152719164185,25.388124465942383,453100,0.0,0.0,0.0
2025-08-07,25.512894358823267,25.512894358823267,25.303282286462338,25.384132385253906,443900,0.0,0.0,0.0
2025-08-08,25.532858166289827,25.587757110595703,25.513894080278217,25.587757110595703,12900,0.0,0.0,0.0
2025-08-11,25.6127104089107,25.632674007343777,25.502912521362305,25.502912521362305,17100,0.0,0.0,0.0
2025-08-12,25.61270995311363,25.802360327185834,25.61270995311363,25.746463775634766,49700,0.0,0.0,0.0
2025-08-13,25.831306987052947,26.031936774939886,25.742472209457222,25.882213592529297,479300,0.0,0.0,0.0
2025-08-14,25.802361191413812,25.882213682566146,25.782397592667337,25.85127067565918,123400,0.0,0.0,0.0
2025-08-15,25.82232377058124,25.82232377058124,25.778404235839844,25.778404235839844,500,0.0,0.0,0.0
2025-08-18,25.78239819858864,25.81234359741211,25.781400589777938,25.81234359741211,4800,0.0,0.0,0.0
2025-08-19,25.637664794921875,25.642656646610444,25.637664794921875,25.637664794921875,1200,0.0,0.0,0.0
2025-08-20,25.600732930666894,25.642655344320534,25.43903083240749,25.598735809326172,6700,0.0,0.0,0.0
2025-08-21,25.602729231339588,25.602729231339588,25.49293324495883,25.522876739501953,12700,0.0,0.0,0.0
2025-08-22,25.817332643012957,25.90716693251015,25.817332643012957,25.826316833496094,26900,0.0,0.0,0.0
2025-08-25,25.80236182311218,25.88720426411148,25.75245282502411,25.782398223876953,31300,0.0,0.0,0.0
2025-08-26,25.76243408375583,25.820327758789062,25.728496346535195,25.820327758789062,7200,0.0,0.0,0.0
2025-08-27,25.822325317884683,25.902177810668945,25.822325317884683,25.902177810668945,4000,0.0,0.0,0.0
2025-08-28,25.92213880924145,25.992011404404007,25.862249917221376,25.972047805786133,12800,0.0,0.0,0.0
2025-08-29,25.81234295344882,25.912157139369683,25.792379354731224,25.822324752807617,4200,0.0,0.0,0.0
2025-09-02,25.622693215046706,25.664615631103516,25.502913523574676,25.664615631103516,3400,0.0,0.0,0.0
2025-09-03,25.85226759907171,25.85226759907171,25.73248981743544,25.832304000854492,4100,0.0,0.0,0.0
2025-09-04,25.902177703348986,26.021955490112305,25.842286906133733,26.021955490112305,3100,0.0,0.0,0.0
2025-09-05,26.21160524956826,26.21160524956826,25.962065978613307,26.001991271972656,2600,0.0,0.0,0.0
2025-09-08,26.071863687396565,26.101807181251345,26.061881888167125,26.06387710571289,5900,0.0,0.0,0.0
2025-09-09,26.091826104357583,26.11178970336914,26.05289841896856,26.11178970336914,2700,0.0,0.0,0.0
2025-09-10,26.13175324898288,26.211605741032347,26.111789650012117,26.17167854309082,5800,0.0,0.0,0.0
2025-09-11,26.24154972505375,26.35134570580771,26.221586127159036,26.34136390686035,19400,0.0,0.0,0.0
2025-09-12,26.34136455065616,26.38129174742143,26.30143925772442,26.331382751464844,31500,0.0,0.0,0.0
2025-09-15,26.421216940795723,26.46114413741054,26.41622699313563,26.451162338256836,14800,0.0,0.0,0.0
2025-09-16,26.49109056635827,26.49109056635827,26.435192108154297,26.435192108154297,400,0.0,0.0,0.0
2025-09-17,26.441181170203624,26.451162969595575,26.361328678901582,26.38228988647461,2200,0.0,0.0,0.0
2025-09-18,26.45116183717444,26.518037796020508,26.45116183717444,26.518037796020508,300,0.0,0.0,0.0
2025-09-19,26.570941639892375,26.604877471923828,26.55097804187376,26.604877471923828,13500,0.0,0.0,0.0
2025-09-22,26.580922911288994,26.70170021057129,26.580922911288994,26.70170021057129,1100,0.0,0.0,0.0
2025-09-23,26.730647716745114,26.730647716745114,26.550979134848482,26.587909698486328,1600,0.0,0.0,0.0
2025-09-24,26.59589558434413,26.60088553200687,26.501069444250398,26.510053634643555,4300,0.0,0.0,0.0
2025-09-25,26.351346020433123,26.44118030819844,26.351346020433123,26.42521095275879,600,0.0,0.0,0.0
2025-09-26,26.540996678863184,26.560960277209748,26.481107787657017,26.538999557495117,15100,0.0,0.0,0.0
2025-09-29,26.559999465942383,26.58099937438965,26.549999237060547,26.57200050354004,4100,0.049,0.0,0.0
2025-09-30,26.600000381469727,26.66699981689453,26.59000015258789,26.66699981689453,400,0.0,0.0,0.0
2025-10-01,26.700000762939453,26.768999099731445,26.690000534057617,26.768999099731445,500,0.0,0.0,0.0
2025-10-02,26.78499984741211,26.799999237060547,26.78499984741211,26.792999267578125,1200,0.0,0.0,0.0
2025-10-03,26.893999099731445,26.893999099731445,26.808000564575195,26.808000564575195,300,0.0,0.0,0.0
2025-10-06,26.850000381469727,26.899999618530273,26.850000381469727,26.898000717163086,2100,0.0,0.0,0.0
2025-10-07,26.90999984741211,26.90999984741211,26.75,26.77400016784668,3400,0.0,0.0,0.0
2025-10-08,26.913000106811523,26.929000854492188,26.913000106811523,26.929000854492188,3000,0.0,0.0,0.0
2025-10-09,26.8799991607666,26.8799991607666,26.790000915527344,26.840999603271484,4500,0.0,0.0,0.0
2025-10-10,26.639999389648438,26.639999389648438,26.22100067138672,26.22100067138672,8500,0.0,0.0,0.0
2025-10-13,26.5,26.6299991607666,26.440000534057617,26.601999282836914,1000,0.0,0.0,0.0
2025-10-14,26.469999313354492,26.547000885009766,26.469999313354492,26.547000885009766,2300,0.0,0.0,0.0
2025-10-15,26.68000030517578,26.790000915527344,26.64699935913086,26.64699935913086,800,0.0,0.0,0.0
2025-10-16,26.700000762939453,26.809999465942383,26.5,26.559999465942383,11000,0.0,0.0,0.0
2025-10-17,26.6299991607666,26.670000076293945,26.579999923706055,26.655000686645508,14600,0.0,0.0,0.0
